Wall time,Step,Value
1623790909,0,0.18435806
1623790931,1,0.340279579
1623791017,5,0.540976644
1623791039,6,0.585079134
1623791082,8,0.593681991
1623791104,9,0.435648948
1623791126,10,0.549395144
1623791169,12,0.623556972
1623791190,13,0.618227422
1623791212,14,0.660753131
1623791234,15,0.651818335
1623791320,19,0.6824494
1623791514,28,0.668858111
1623791536,29,0.678779542
1623791579,31,0.695837796
1623791643,34,0.662154675
1623791665,35,0.715901971
1623791708,37,0.667216837
1623791751,39,0.728469729
1623791773,40,0.679987431
1623791816,42,0.706957936
1623791859,44,0.654529214
1623791881,45,0.727768958
1623791946,48,0.740788579
1623791967,49,0.682891965
1623791989,50,0.703463256
1623792010,51,0.727842748
1623792032,52,0.724698484
1623792097,55,0.706939459
1623792118,56,0.750516355
1623792161,58,0.727519989
1623792204,60,0.733983696
1623792226,61,0.751456857
1623792247,62,0.591561258
1623792269,63,0.677562416
1623792333,66,0.747833133
1623792355,67,0.740447402
1623792376,68,0.751650512
1623792398,69,0.73712796
1623792441,71,0.739101171
1623792506,74,0.729410231
1623792613,79,0.754933059
1623792635,80,0.758077323
1623792656,81,0.757680833
1623792678,82,0.762309611
1623792700,83,0.753015161
1623792721,84,0.764255166
1623792829,89,0.775043309
1623793002,97,0.748386383
1623793066,100,0.77105999
1623793088,101,0.773863077
1623793239,108,0.790460289
1623793303,111,0.697414517
1623793346,113,0.773982942
1623793368,114,0.785619438
1623793390,115,0.794794023
1623793476,119,0.796527505
1623793497,120,0.809473336
1623793519,121,0.808708012
1623793584,124,0.697165549
1623793605,125,0.486224324
1623793670,128,0.63946259
1623793756,132,0.743739188
1623793799,134,0.740041673
1623793842,136,0.762659967
1623793863,137,0.755080581
1623793885,138,0.763480604
1623793906,139,0.773568034
1623794012,143,0.764550209
1623794055,145,0.75627929
1623794119,148,0.778906822
1623794141,149,0.790838361
1623794162,150,0.788357973
1623794205,152,0.794231534
1623794227,153,0.793567657
1623794248,154,0.799856186
1623794313,157,0.805038154
1623794356,159,0.72290045
1623794378,160,0.77876848
1623794421,162,0.770562112
1623794442,163,0.792857647
1623794507,166,0.798094988
1623794614,171,0.762558579
1623794636,172,0.800842762
1623794658,173,0.825452745
1623794701,175,0.828016102
1623794723,176,0.84193927
1623794766,178,0.797615528
1623794809,180,0.796933234
1623794830,181,0.820289135
1623794852,182,0.826393247
1623794873,183,0.8364622
1623794917,185,0.843285501
1623794938,186,0.836831033
1623795089,193,0.732075036
1623795175,197,0.779469252
1623795262,201,0.818445027
1623795283,202,0.846125484
1623795305,203,0.846909225
1623795392,207,0.753937244
1623795456,210,0.707612574
1623795540,213,0.751300097
1623795562,214,0.74205178
1623795627,217,0.771410406
1623795648,218,0.783498704
1623795691,220,0.784734249
1623795713,221,0.800556958
1623795734,222,0.809777617
1623795777,224,0.776444852
1623795799,225,0.795679212
1623795842,227,0.813401341
1623795864,228,0.799358249
1623795885,229,0.751502991
1623795950,232,0.822124064
1623796015,235,0.80936265
1623796122,240,0.784429967
1623796166,242,0.811520278
1623796209,244,0.811704695
1623796230,245,0.832137704
1623796338,250,0.735846281
1623796403,253,0.800925732
1623796424,254,0.802769899
1623796446,255,0.82708478
1623796467,256,0.850551367
1623796511,258,0.856729269
1623796597,262,0.855659664
1623796640,264,0.678023458
1623796683,266,0.795273483
1623796726,268,0.820307612
1623796834,273,0.836185575
1623796877,275,0.850219429
1623796963,279,0.74848783
1623797071,284,0.805167258
1623797114,286,0.828228176
1623797136,287,0.841017246
1623797200,290,0.819367111
1623797243,292,0.834608853
1623797265,293,0.845968723
1623797287,294,0.860989213
1623797330,296,0.514633179
1623797351,297,0.426631123
1623797373,298,0.590150476
1623797459,302,0.738271296
1623797481,303,0.741793633
1623797524,305,0.753485441
1623797588,308,0.769077539
1623797675,312,0.782687247
1623797696,313,0.774840474
1623797718,314,0.790238976
1623797739,315,0.782622755
1623797782,317,0.775965393
1623797847,320,0.781294942
1623797869,321,0.759073138
1623797890,322,0.772277117
1623797955,325,0.798353195
1623797976,326,0.796195567
1623798020,328,0.804632485
1623798149,334,0.812368631
1623798192,336,0.8129403
1623798257,339,0.745481849
1623798278,340,0.794794023
1623798322,342,0.803221703
1623798343,343,0.822806418
1623798451,348,0.829362273
1623798472,349,0.838140368
1623798516,351,0.836794138
1623798559,353,0.843599021
1623798580,354,0.818435788
1623798602,355,0.843940198
1623798686,358,0.848043382
1623798707,359,0.818426609
1623798772,362,0.853400588
1623798794,363,0.743545532
1623798837,365,0.777237833
1623798859,366,0.801451325
1623798902,368,0.811142266
1623798988,372,0.805019736
1623799009,373,0.812082767
1623799031,374,0.817015827
1623799074,376,0.812672913
1623799096,377,0.818906069
1623799160,380,0.827112436
1623799182,381,0.827942312
1623799203,382,0.835669219
1623799225,383,0.82795155
1623799268,385,0.832755506
